date,device_category,registered_or_guest,no_visits,no_view_item,no_add_to_cart,no_purchases,no_transactions,conversion_rate
2020-01-01,,guest,24358,0,0,0,0,0.0
2020-01-01,desktop,guest,5825,5817,519,33,33,0.005665236051502146
2020-01-01,desktop,registered,1891,1902,476,117,117,0.061872025383395028
2020-01-01,mobile,guest,26537,26530,1533,42,42,0.0015826958586125032
2020-01-01,mobile,registered,3075,3057,628,115,115,0.037398373983739838
2020-01-01,tablet,guest,500,500,37,2,2,0.004
2020-01-01,tablet,registered,89,89,23,6,6,0.06741573033707865
2020-01-02,,guest,31853,0,0,0,0,0.0
2020-01-02,desktop,guest,14729,14707,1490,77,77,0.0052277819268110532
2020-01-02,desktop,registered,4467,4444,1047,249,249,0.055742108797850909
2020-01-02,mobile,guest,28044,28039,1803,75,75,0.0026743688489516476
2020-01-02,mobile,registered,3544,3517,689,156,156,0.044018058690744918
2020-01-02,tablet,guest,450,449,40,2,2,0.0044444444444444444
2020-01-02,tablet,registered,78,78,15,5,5,0.0641025641025641
2020-01-03,,guest,28191,0,0,0,0,0.0
2020-01-03,desktop,guest,13335,13314,1304,50,50,0.0037495313085864268
2020-01-03,desktop,registered,4146,4123,939,194,194,0.046792088760250844
2020-01-03,mobile,guest,26488,26481,1553,52,52,0.0019631531259438235
2020-01-03,mobile,registered,3359,3334,597,140,140,0.041679071152128606
2020-01-03,tablet,guest,455,455,45,0,0,0.0
2020-01-03,tablet,registered,67,66,18,2,2,0.029850746268656716
2020-01-04,,guest,25209,0,0,0,0,0.0
2020-01-04,desktop,guest,7522,7518,699,36,36,0.0047859611805370914
2020-01-04,desktop,registered,2273,2261,495,128,128,0.056313242410910694
2020-01-04,mobile,guest,29234,29227,1779,79,79,0.0027023329000478895
2020-01-04,mobile,registered,3537,3520,693,146,146,0.041277919140514562
2020-01-04,tablet,guest,557,556,40,6,6,0.010771992818671455
2020-01-04,tablet,registered,71,71,19,1,1,0.014084507042253521
2020-01-05,,guest,26540,0,0,0,0,0.0
2020-01-05,desktop,guest,6749,6739,566,45,45,0.006667654467328493
2020-01-05,desktop,registered,2143,2123,459,147,147,0.068595426971535228
2020-01-05,mobile,guest,32318,32310,1965,85,85,0.0026301132495822762
2020-01-05,mobile,registered,3660,3637,718,169,169,0.046174863387978139
2020-01-05,tablet,guest,634,634,46,2,2,0.0031545741324921135
2020-01-05,tablet,registered,84,84,21,8,8,0.095238095238095233
2020-01-06,,guest,29090,0,0,0,0,0.0
2020-01-06,desktop,guest,13652,13632,1150,49,49,0.0035892176970407268
2020-01-06,desktop,registered,4024,4000,762,209,209,0.051938369781312124
2020-01-06,mobile,guest,26643,26640,1352,40,40,0.0015013324325338737
2020-01-06,mobile,registered,3105,3075,505,134,134,0.043156199677938809
2020-01-06,tablet,guest,463,463,36,2,2,0.0043196544276457886
2020-01-06,tablet,registered,58,57,9,2,2,0.034482758620689655
2020-01-07,,guest,26909,0,0,0,0,0.0
2020-01-07,desktop,guest,12329,12306,1343,74,74,0.0060021088490550736
2020-01-07,desktop,registered,3922,3895,943,201,201,0.051249362570117286
2020-01-07,mobile,guest,25007,24997,1446,50,50,0.0019994401567561084
2020-01-07,mobile,registered,3076,3050,604,116,116,0.0377113133940182
2020-01-07,tablet,guest,439,439,40,2,2,0.0045558086560364463
2020-01-07,tablet,registered,64,64,15,3,3,0.046875
2020-01-08,,guest,26038,0,0,0,0,0.0
2020-01-08,desktop,guest,11734,11723,1098,66,66,0.0056246804158854614
2020-01-08,desktop,registered,3739,3699,824,209,209,0.055897298742979405
2020-01-08,mobile,guest,24244,24233,1341,59,59,0.0024335918165319255
2020-01-08,mobile,registered,2965,2948,522,130,130,0.043844856661045532
2020-01-08,tablet,guest,443,443,31,1,1,0.002257336343115124
2020-01-08,tablet,registered,51,51,10,4,4,0.0784313725490196
2020-01-09,,guest,26960,0,0,0,0,0.0
2020-01-09,desktop,guest,11907,11887,1284,61,61,0.0051230368690686149
2020-01-09,desktop,registered,3679,3646,873,165,165,0.04484914378907312
2020-01-09,mobile,guest,24981,24979,1499,49,49,0.0019614907329570472
2020-01-09,mobile,registered,3111,3091,581,134,134,0.043072966891674704
2020-01-09,tablet,guest,419,419,32,2,2,0.00477326968973747
2020-01-09,tablet,registered,52,52,8,2,2,0.038461538461538464
2020-01-10,,guest,27537,0,0,0,0,0.0
2020-01-10,desktop,guest,11877,11855,1326,69,69,0.0058095478656226317
2020-01-10,desktop,registered,3813,3787,962,210,210,0.055074744295830057
2020-01-10,mobile,guest,26202,26190,1737,58,58,0.0022135714830928935
2020-01-10,mobile,registered,3252,3237,672,135,135,0.041512915129151291
2020-01-10,tablet,guest,466,466,43,1,1,0.0021459227467811159
2020-01-10,tablet,registered,77,76,14,3,3,0.03896103896103896
2020-01-11,,guest,26845,0,0,0,0,0.0
2020-01-11,desktop,guest,7196,7188,681,44,44,0.0061145080600333518
2020-01-11,desktop,registered,2072,2056,452,100,100,0.048262548262548263
2020-01-11,mobile,guest,29275,29264,1863,58,58,0.0019812126387702819
2020-01-11,mobile,registered,3378,3359,666,126,126,0.037300177619893425
2020-01-11,tablet,guest,511,511,37,1,1,0.0019569471624266144
2020-01-11,tablet,registered,61,61,17,2,2,0.032786885245901641
2020-01-12,,guest,29202,0,0,0,0,0.0
2020-01-12,desktop,guest,6953,6943,594,44,44,0.006328203653099382
2020-01-12,desktop,registered,1941,1924,418,118,118,0.060793405461102526
2020-01-12,mobile,guest,32203,32192,1893,61,61,0.0018942334565102631
2020-01-12,mobile,registered,3445,3416,588,135,135,0.039187227866473148
2020-01-12,tablet,guest,620,620,51,2,2,0.0032258064516129032
2020-01-12,tablet,registered,68,68,15,2,2,0.029411764705882353
2020-01-13,,guest,26196,0,0,0,0,0.0
2020-01-13,desktop,guest,11575,11560,1065,46,46,0.0039740820734341254
2020-01-13,desktop,registered,3411,3385,671,172,172,0.050425095279976545
2020-01-13,mobile,guest,22791,22784,1230,38,38,0.0016673248212013515
2020-01-13,mobile,registered,2758,2737,480,107,107,0.0387962291515591
2020-01-13,tablet,guest,388,388,30,2,2,0.0051546391752577319
2020-01-13,tablet,registered,59,58,9,3,3,0.050847457627118647
2020-01-14,,guest,22855,0,0,0,0,0.0
2020-01-14,desktop,guest,9893,9877,882,43,43,0.0043465076316587482
2020-01-14,desktop,registered,2969,2954,584,138,138,0.046480296396092961
2020-01-14,mobile,guest,19997,19986,1036,37,37,0.0018502775416312446
2020-01-14,mobile,registered,2443,2427,407,95,95,0.038886614817846908
