items_ordered,num_orders
sweatshirt & t-shirt,4908
polo shirt & t-shirt,4312
joggers & sweatshirt,3696
shorts & t-shirt,2834
shirt & t-shirt,2673
joggers & t-shirt,2023
jumper & sweatshirt,1974
hoodie & sweatshirt,1682
jumper & shirt,1435
t-shirt & trousers,1429
shirt & sweatshirt,1396
sneakers & t-shirt,1209
cardigan & jumper,1176
polo shirt & shirt,1138
jeans & t-shirt,1100
shirt & trousers,1085
hoodie & joggers,1051
jumper & t-shirt,1042
t-shirt & tank top,1009
lifestyle shoes & sneakers,973
sweatshirt & trousers,937
lifestyle shoes & t-shirt,855
jeans & shirt,748
coat & sweatshirt,697
leggings & t-shirt,672
socks & t-shirt,640
polo shirt & shorts,601
slippers & t-shirt,598
dress & t-shirt,587
joggers & jumper,581
jeans & sweatshirt,566
jeans & jumper,562
jeans & trousers,561
jumper & trousers,557
lifestyle shoes & running shoes,555
coat & t-shirt,544
sneakers & sweatshirt,534
blouse & shirt,523
swim shorts & t-shirt,508
coat & jumper,489
sleeveless & t-shirt,483
hoodie & t-shirt,473
joggers & shorts,467
jeans & polo shirt,454
joggers & shirt,447
joggers & sweatshirt & t-shirt,443
running shoes & t-shirt,430
dress & shirt,412
polo shirt & sweatshirt,411
joggers & polo shirt,407
leggings & sweatshirt,389
dress & jumper,388
coat & joggers,351
shirt & sneakers,351
shorts & sweatshirt,349
jacket & t-shirt,348
polo shirt & trousers,343
lifestyle shoes & shirt,337
socks & sweatshirt,334
jeans & joggers,326
boots & sneakers,321
blouse & dress,319
lifestyle shoes & sweatshirt,318
jacket & joggers,307
coat & shirt,306
boots & jumper,304
blouse & t-shirt,295
hoodie & joggers & sweatshirt,287
sandals & slippers,286
running shoes & training shoes,285
hiking shoes & outdoor shoes,278
joggers & leggings,275
hiking shoes & t-shirt,273
shirt & sweatshirt & t-shirt,268
boots & sweatshirt,261
boots & coat,257
running shoes & sneakers,252
polo shirt & sneakers,252
jacket & sweatshirt,248
shirt & socks,247
jacket & shirt,240
joggers & lifestyle shoes,239
sandals & t-shirt,236
lifestyle shoes & polo shirt,235
joggers & sneakers,234
outdoor shoes & t-shirt,232
cardigan & shirt,231
shirt & shorts,231
jumper & polo shirt,229
skirt & t-shirt,229
shirt & short-sleeved shirt,228
dress & sweatshirt,227
boots & lifestyle shoes,223
joggers & trousers,222
polo shirt & shirt & t-shirt,219
jumper & sneakers,218
cardigan & sweatshirt,211
jumper & sweatshirt & t-shirt,210
slippers & sneakers,209
joggers & socks,205
coat & jeans,205
dress & skirt,204
hoodie & sweatshirt & t-shirt,204
hoodie & jumper,201
backpack & t-shirt,198
dress & polo shirt,197
jeans & sneakers,197
blouse & jumper,196
boots & t-shirt,196
lifestyle shoes & socks,192
jumper & shirt & sweatshirt,190
outdoor shoes & sneakers,189
jacket & jumper,188
polo shirt & shorts & t-shirt,188
dress & joggers,188
outdoor shoes & sweatshirt,181
jumper & lifestyle shoes,181
hat & t-shirt,181
coat & hoodie,176
jeans & lifestyle shoes,176
polo shirt & socks,173
shoulder bag & t-shirt,172
hoodie & shirt,171
sneakers & trousers,169
dress & shorts,167
jumper & skirt,166
joggers & jumper & sweatshirt,164
hiking shoes & lifestyle shoes,161
dress & trousers,160
shorts & sweatshirt & t-shirt,156
boxers & t-shirt,154
slippers & swim shorts,149
t-shirt & wallet,149
cardigan & t-shirt,149
hiking shoes & joggers,148
lifestyle shoes & outdoor shoes,148
pyjama set & sweatshirt,148
shoulder bag & wallet,148
jumper & pullover,147
shoulder bag & sneakers,145
jumper & socks,145
beanie & sweatshirt,144
slippers & sweatshirt,144
sneakers & socks,142
coat & sneakers,142
boots & joggers,141
running shoes & sweatshirt,141
lifestyle shoes & training shoes,141
shorts & swim shorts,140
joggers & running shoes,140
t-shirt & training shoes,139
shirt & skirt,136
shorts & slippers,135
coat & socks,135
dress & jeans,134
jeans & socks,131
hoodie & jeans,126
sweatshirt & t-shirt & trousers,126
leggings & sports bra,126
polo shirt & sweatshirt & t-shirt,126
boots & jeans,125
boots & shirt,125
hiking shoes & sweatshirt,124
shorts & tank top,124
hiking shoes & sneakers,123
lifestyle shoes & trousers,123
cardigan & joggers,122
jumper & shirt & t-shirt,122
lifestyle shoes & slippers,121
denim jacket & t-shirt,120
boots & outdoor boots,119
backpack & sweatshirt,119
outdoor boots & sweatshirt,118
beanie & scarf,118
flipflops & slippers,118
cardigan & dress,117
postman bag & shoulder bag,117
hand bag & shoulder bag,115
blouse & trousers,115
joggers & outdoor shoes,115
outdoor shoes & running shoes,115
coat & lifestyle shoes,114
jumper & scarf,113
joggers & shirt & sweatshirt,113
jacket & trousers,113
shorts & trousers,111
coat & dress,110
coat & jacket,110
joggers & shorts & t-shirt,110
postman bag & t-shirt,109
sandals & sneakers,109
boots & dress,108
backpack & joggers,107
dress shoes & lifestyle shoes,105
shorts & socks,104
cross body bag & shoulder bag,104
hiking shoes & running shoes,104
cardigan & coat,104
shirt & t-shirt & trousers,103
hoodie & polo shirt,103
coat & trousers,103
polo shirt & slippers,102
pyjama set & t-shirt,102
dress & jacket,102
shorts & sleeveless,100
shorts & sneakers,100
cardigan & jeans,99
short-sleeved shirt & t-shirt,98
dress & sneakers,97
tank top & trousers,96
running shoes & socks,96
shoulder bag & sweatshirt,95
socks & trousers,95
blouse & jeans,95
blouse & skirt,95
polo shirt & swim shorts,94
jeans & shorts,93
hooded jumper & jumper,93
running shoes & shirt,93
sweatshirt & vest,93
backpack & shoulder bag,92
belt & t-shirt,91
hoodie & shorts,91
boots & hiking shoes,91
joggers & pyjama set,90
dress & leggings,90
shirt & shoulder bag,89
jumper & shoulder bag,88
shirt & slippers,88
beanie & gaiter,88
sweatshirt & tank top,87
cardigan & jumper & sweatshirt,87
boxers & socks,87
lifestyle shoes & sandals,87
sneakers & sweatshirt & t-shirt,87
coat & polo shirt,87
bikini & swimsuit,86
belt & shirt,85
jeans & polo shirt & t-shirt,85
jeans & shirt & t-shirt,84
polo shirt & running shoes,84
joggers & polo shirt & t-shirt,84
sleeveless & tank top,83
leggings & shorts,82
joggers & shorts & sweatshirt,82
outdoor boots & outdoor shoes,82
boots & shoulder bag,81
leggings & sweatshirt & t-shirt,81
beanie & jumper,81
jeans & sweatshirt & t-shirt,81
skirt & sweatshirt,80
beanie & coat,80
sports bra & t-shirt,79
hoodie & jacket,79
backpack & sneakers,79
shorts & t-shirt & tank top,78
jumper & leggings,78
jacket & jeans,78
joggers & leggings & sweatshirt,77
dress & shoulder bag,77
hoodie & joggers & t-shirt,77
jumper & shirt & trousers,76
dress & lifestyle shoes,76
t-shirt & vest,76
sandals & shorts,76
polo shirt & sandals,76
bikini & dress,76
swimsuit & t-shirt,76
boots & socks,76
shoulder bag & tote bag,75
skirt & trousers,75
lifestyle shoes & shorts,75
scarf & t-shirt,74
coat & puffer coat,74
beanie & gloves,74
hiking shoes & socks,73
hooded jacket & joggers,73
blouse & sweatshirt,73
dress shoes & shirt,72
dress & slippers,72
sweatshirt & wallet,71
scarf & sweatshirt,71
polo shirt & short-sleeved shirt,71
cardigan & jumper & shirt,71
dress & sandals,71
