item_name,item_brand,item_quantity,return_quantity,return_rate
thermos flask,Prism,1,1.0,1.0
sweatshirt,Dockers,1,1.0,1.0
sandals,Aeropostale,1,1.0,1.0
cardigan,Pierre Cardin,1,1.0,1.0
wellies,Benetton,1,1.0,1.0
hiking shoes,Vans,1,1.0,1.0
polo shirt,Columbia,1,1.0,1.0
sneakers,Camper,1,1.0,1.0
boots,Ugg,1,1.0,1.0
shorts,Quiksilver,1,1.0,1.0
toner,Lancome,2,2.0,1.0
wristband,Swarovski,1,1.0,1.0
polo shirt,Nautica,1,1.0,1.0
shorts,Levis,2,2.0,1.0
tote bag,Tommy Hilfiger,1,1.0,1.0
t-shirt,U.S. Polo Assn.,1,1.0,1.0
sports bra,Kappa,1,1.0,1.0
laptop bag,Calvin Klein,1,1.0,1.0
clutch,U.S. Polo Assn.,1,1.0,1.0
dress,Lee Cooper,1,1.0,1.0
socks,Kappa,3,3.0,1.0
man in black men perfume set (100ml edp + 15 ml edp),Bvlgari,1,1.0,1.0
libre edt 90 ml women perfume,Yves Saint Laurent,1,1.0,1.0
wallet,Levis,1,1.0,1.0
card sleeve,George Hogg,1,1.0,1.0
jacket,Columbia,1,1.0,1.0
perfume,Dior,1,1.0,1.0
dress,Wrangler,1,1.0,1.0
cologne,Pierre Cardin,1,1.0,1.0
hat,The North Face,1,1.0,1.0
hobo bag,Love Moschino,1,1.0,1.0
coat,Puma,1,1.0,1.0
food container,Zwilling,2,2.0,1.0
vest,Prism,1,1.0,1.0
sunglasses,Ray-Ban,1,1.0,1.0
swim shorts,Lee,1,1.0,1.0
shirt,Calvin Klein,1,1.0,1.0
briefs,Tommy Hilfiger,1,1.0,1.0
swim shorts,Aeropostale,1,1.0,1.0
running shoes,New Balance,1,1.0,1.0
sneakers,Calvin Klein,2,2.0,1.0
noir extreme all over spray 150 ml unisex perfume,Tom Ford,2,2.0,1.0
clutch,Prism,3,3.0,1.0
sweatshirt,Lee Cooper,2,2.0,1.0
tank top,adidas,1,1.0,1.0
watch,Pierre Cardin,1,1.0,1.0
outdoor boot,The North Face,1,1.0,1.0
jumpsuit,Aeropostale,2,2.0,1.0
vest,Wrangler,1,1.0,1.0
trousers,Tommy Jeans,1,1.0,1.0
stationary items,Prism,1,1.0,1.0
socks,Benetton,1,1.0,1.0
suitcase,Nautica,1,1.0,1.0
scarf,National Geographic,2,2.0,1.0
coat,National Geographic,1,1.0,1.0
shirt,Levis,2,2.0,1.0
outdoor shoes,Under Armour,1,1.0,1.0
wallet,Fossil,1,1.0,1.0
windbreaker,Columbia,1,1.0,1.0
sweatshirt,Columbia,2,2.0,1.0
perfume,Givenchy,2,2.0,1.0
suitcase,National Geographic,1,1.0,1.0
sandals,Prism,3,3.0,1.0
puffer vest,Lee Cooper,1,1.0,1.0
scarf,Divarese,1,1.0,1.0
joggers,Wrangler,1,1.0,1.0
deodorant,Bvlgari,1,1.0,1.0
sneakers,Love Moschino,2,2.0,1.0
cardigan,Benetton,1,1.0,1.0
brow liner,Bobbi Brown,4,4.0,1.0
